2026-06-02 12:29:42	233300000
2026-06-02 22:39:20	233300000
2026-06-03 18:10:01	233300000
2026-06-04 10:45:32	233400000
2026-06-04 19:49:11	233400000
2026-06-05 09:00:05	233400000
2026-06-05 17:25:49	233400000
2026-06-05 22:23:42	233400000
2026-06-06 09:15:01	233400000
2026-06-06 15:59:57	233500000
2026-06-06 21:44:57	233400000
2026-06-07 10:15:03	233400000
2026-06-07 16:55:16	233400000
2026-06-07 21:53:35	233500000
2026-06-08 14:41:26	233500000
2026-06-08 21:29:03	233500000
2026-06-09 11:45:13	233500000
2026-06-09 19:36:50	233600000
2026-06-10 11:10:56	233500000
2026-06-10 21:20:41	233500000
2026-06-11 13:05:42	233500000
2026-06-11 22:21:30	233600000
2026-06-12 12:35:47	233600000
2026-06-12 21:19:32	233700000
2026-06-13 10:14:17	233700000
